date_id;date;day;month;month_name;year;weekday;is_weekend
20251028;2025/10/28;28;10;October;2025/10/28;Tuesday;FALSE
20251029;2025/10/29;29;10;October;2025/10/29;Wednesday;FALSE
20251030;2025/10/30;30;10;October;2025/10/30;Thursday;FALSE
20251031;2025/10/31;31;10;October;2025/10/31;Friday;FALSE
20251101;2025/11/01;1;11;November;2025/11/01;Saturday;TRUE
20251102;2025/11/02;2;11;November;2025/11/02;Sunday;TRUE
20251103;2025/11/03;3;11;November;2025/11/03;Monday;FALSE
20251104;2025/11/04;4;11;November;2025/11/04;Tuesday;FALSE
20251105;2025/11/05;5;11;November;2025/11/05;Wednesday;FALSE
20251106;2025/11/06;6;11;November;2025/11/06;Thursday;FALSE
20251107;2025/11/07;7;11;November;2025/11/07;Friday;FALSE
20250805;2025/08/05;5;8;August;2025/08/05;Tuesday;FALSE
20250806;2025/08/06;6;8;August;2025/08/06;Wednesday;FALSE
20250807;2025/08/07;7;8;August;2025/08/07;Thursday;FALSE
20250808;2025/08/08;8;8;August;2025/08/08;Friday;FALSE
20250809;2025/08/09;9;8;August;2025/08/09;Saturday;TRUE
20250810;2025/08/10;10;8;August;2025/08/10;Sunday;TRUE
20250811;2025/08/11;11;8;August;2025/08/11;Monday;FALSE
20250812;2025/08/12;12;8;August;2025/08/12;Tuesday;FALSE
20250813;2025/08/13;13;8;August;2025/08/13;Wednesday;FALSE
20250901;2025/09/01;1;9;September;2025/09/01;Monday;FALSE
20250902;2025/09/02;2;9;September;2025/09/02;Tuesday;FALSE
20250903;2025/09/03;3;9;September;2025/09/03;Wednesday;FALSE
20250904;2025/09/04;4;9;September;2025/09/04;Thursday;FALSE
20250905;2025/09/05;5;9;September;2025/09/05;Friday;FALSE
20250906;2025/09/06;6;9;September;2025/09/06;Saturday;TRUE
20250907;2025/09/07;7;9;September;2025/09/07;Sunday;TRUE
20250908;2025/09/08;8;9;September;2025/09/08;Monday;FALSE
20250909;2025/09/09;9;9;September;2025/09/09;Tuesday;FALSE
20250910;2025/09/10;10;9;September;2025/09/10;Wednesday;FALSE
