usage_id;date_id;site_id;meter_id; kwh_consumed ;  cost  ;peak_flag
1;20251028;1;1;85;280;off-peak
2;20251029;2;2;200;600;peak
3;20251030;3;3;70;130,25;off-peak
4;20251031;4;4;65;110;off-peak
5;20251101;5;5;60;95,87;off-peak
6;20251102;6;6;55;85;off-peak
7;20251103;7;7;50;74,13;off-peak
8;20251104;8;8;54;63,26;off-peak
9;20251105;9;9;100;380;off-peak
10;20251106;10;10;95,8;175;off-peak
11;20251107;11;11;110;450;off-peak
12;20250805;12;12;150;530;peak
13;20250806;13;13;300;1 000,50;peak
14;20250807;14;14;280;985,9;peak
15;20250808;15;15;325,4;1 145,50;peak
16;20250809;16;16;340;1 305,10;peak
17;20250810;17;17;350;1 464,70;peak
18;20250811;18;18;375,45;1 624,30;peak
19;20250812;19;19;75;170;off-peak
20;20250813;20;20;78,98;100;off-peak
21;20250901;21;21;89;90,75;off-peak
22;20250902;22;22;116;215,6;off-peak
23;20250903;23;23;158,7;416;off-peak
24;20250904;24;24;250,64;578;peak
25;20250905;25;25;95;154,24;off-peak
26;20250906;26;26;97,45;257,47;off-peak
27;20250907;27;27;82,65;126,59;off-peak
28;20250908;28;28;119;647;peak
29;20250909;29;29;123;398,45;off-peak
30;20250910;30;30;105;147;off-peak
31;20250910;30;5;140;250;peak
32;20250902;22;4;80;100;off-peak
